Vol,No,Year,Article,Author,Pages
3,4,,Development and Control of Novel Vibration Isolation Platform,"Meng-Shiun Tsai, Yann-Shuoh Sun, Zhong‐Shian Wu",245-250
3,4,,Design and Evaluation of a Multi-degree-of-freedom Piezoelectric Microactuator and its Applications,"Sheng-Chih Shen, Yi-Cheng Chen",251-257
3,4,,Design of the Piezoelectric Actuator with Double Driving Tips,"Shyang-Jye Chang, Jing Chen",259-263
3,4,,Precision Positioning with Shape-Memory-Alloy Actuators,"Kai-Hung Liang, Kuo-Han Kao, Szu-Chi Tien",265-271
3,4,,Navigation Method for Autonomous Robots in a Dynamic Indoor Environment,"Stanislav Věchet, Kuo-Shen Chen, Jiří Krejsa",273-277
4,1,2014,Trend Analysis for the Market and Application Development of 3D Printing,Chin-Ching Yeh,45660
4,1,,Real-time image acquisition and deblurring for underwater gravel extraction by smartphone,"Ming-Fu Chen, Yi-Chiun Kung, Shih-Jie Chou, Wei-Shen Lo, Chi-Kuei Wang",45788
4,1,,A Review of Ubiquitous Mobile Sensing Based on Smartphones,"Chih-Yen Chen, Yung-Hsiang Chen, Chun-Fu Lin, Chun-Jen Weng, Hung-Chun Chien",13-19
4,1,,The improvement of Si0.5Ge0.5/Si interface quality by using low energy hydrogen plasma cleaning process and positron annihilation spectroscopy,"Cho-Fan Hsieh, Chen-Wei Chen, Chih-Hua Chen, Ming-Han Liao",21-26
4,1,,Simultaneous Hand-Eye-Workspace and Camera Calibration using Laser Beam Projection,"Jwu-Sheng Hu, Yung-Jung Chang",27-42
4,1,,An Interactive Auto-recharging System for Mobile Robots,"Kuo-Lan Su, Yi-Lin Liao, Shih-Ping Lin, Sian-Fu Lin",43-53
4,1,,Frequency-based Vehicle Idling Detection,"Kai-Chao Yang, Chih-Ting Kuo, Chun-Yu Chen, Chih-Chyau Yang, Chien-Ming Wu, Chun-Ming Huang",55-61
4,2,,The Trend towards “Smart Cities”,Chien-Chu Chen,63-66
4,2,,Analysis of Magnetic Assisted Assembly of Meso-Scale Parts,"Hong-Hua Ko, Dung-An Wang",67-76
4,2,,A Magnetic Micropump Based on Ferrofluidic Actuation,"Lung-Ming Fu, Wei-Ching Fang, Ting-Fu Hong, Chia-Yen Lee",77-82
4,2,,Label-free Live and Dead Cell Separation Method Using a High-Efficiency Optically-Induced Dielectrophoretic (ODEP) Force-based Microfluidic Platform,"Song-Bin Huang, Shing-Lun Liu, Jian-Ting Li, Min-Hsien Wu",83-91
4,2,,An Effective Power Management Circuit system for Energy Harvesting Applications,"Chun-Chang Wu, Yu-Jie Huang, Yi-Cheng Chiou, Yu-Hao Chen, Shey-Shi Lu",93-98
4,2,,Solar Battery Charger in CMOS 0.25 um Technology,"Tao Wang, Chang-Ching Huang, Tian-Jen Wang",99-103
4,2,,Fabrication Suspended High-Aspect-Ratio Parylene Structures for Large Displacement Requirements,"Wen-Cheng Kuo, Chen-Wei Chen",105-112
4,2,,A Conceptual Atomic Force Microscope using LEGO for Nanoscience Education,"Tsung-Han Hsieh, Yu-Chi Tsai, Chih-Jan Kao, Yin-Min Chang, Yen-Wen Lu",113-121
4,3,,SPECIAL ISSUE: Intelligent and Precision Manufacturing with Automation Technology,Guo-Hua Feng,123-124
4,3,,The Intelligent Automation Demands of Taiwanese Companies with Businesses in Taiwan and China,Ying-Mei Tai,125-127
4,3,,Using the Zero-Resistance Spark Circuit on the Wire Cut Electric Discharge Machine to Realize Energy Savings,"Shao-Hsien Chen, Chen-Peng Wang",128-133
4,3,,Ball Nut Preload Diagnosis of the Hollow Ball Screw through Sensed Current Signals,"Yi-Cheng Huang, Shi-Lun Sun, Kuan-Heng Peng",134-142
4,3,,Automatic Inspection and Processing of Accessory Based on Vision Stitching and Spectral Illumination,Wen-Yang Chang,143-149
4,3,,An Intelligent Fault Diagnosis System for Machine Tools,"Chia Wang, Wei-Yen Lin, Hong-Tsu Young",150-156
4,3,,Using Focused Electron Beams to Drill Straight Nanopores on a Membrane,"Yung-Cheng Wang, Dau-Chung Wang, Yung-Cheng Wang",157-162
4,3,,Automatic Calibration System for Precision Angle Measurement Devices,"Yung-Cheng Wang, Lih-Horng Shyu, Eberhard Manske, Chung-Ping Chang, Shih-Syun Lin",163-167
4,3,,Design of Wireless Sensors for Intelligent Manufacture Monitoring,"Chia-Chan Chang, Chung-Yi Liu, Kui-Hua Huang, Guo-Hua Feng",168-173
4,3,,Fabrication of sub-wavelength antireflective structure to enhance the efficiency of InGaAs solar cells,"Yen-Yu Chou, Che-Chun Chang, Yeeu-Chang Lee",174-178
4,3,,"A high performance, high precision, low cost rapid prototyping and manufacturing technology",Viacheslav R. Shulunov,179-184
4,4,,Promoting Applications of Intelligence Technology in Response to the Trend of Regional Innovation – A Look at Intelligent Tourism,"Chih-Lun Chen, Yi-Hsin Ho",185-190
4,4,,NFC Tags Based Notification System for Medical Appointments,"Quratulain Masud, Munazza Fatima, Razi Iqbal, Awais Ahmad",191-195
4,4,,Interdisciplinary Research Drivers and Serendipity Factor: An Applied Mechanics Perspective on Some Past Application Platforms,"Chih-Kung Lee, Po-Cheng Lai, Wen-Chi Chang, Yi-Ching Kuo, Pei-I Tsai, Ming-Han Chung, Julie T. Lee",228-237
4,4,,Light-Addressed Electrodeposition of Polysaccharide Chitosan Membranes on a Photoconductive Substrate,"Shih-Hao Huang, Lu-Shiuan Wei",196-201
4,4,,Chip-Level Design for Digital Microfluidic Biochips,"Shang Tsung Yu, Tsung-Yi Ho",202-207
4,4,,Set-up for an optically induced dielectrophoresis platform and its application to micro- and nanoscale material manipulation,"Yen-Heng Lin, Kai-Siang Ho, Chin-Tien Yang",208-215
4,4,,Mechatronic Systems in Digital Microfluidics,"Ping-Yi Hung, Hsin-Yi Lu, Shih-Kang Fan, Yen-Wen Lu",216-221
4,4,,Reliability Study on Compact and Portable Chemiluminescence Detector,"Kai-Di Zhang, Xiang-Yu Zeng, Zhi Zeng, Guo-Wei Tao, Jia Zhou",222-227
5,1,2015,Advanced Robotics and Control,Pei-Chun Lin,1
5,1,,Continued Evolution of Automated Manufacturing – Cloud-Enabled Digital Manufacturing,Chung-Hung Huang,45693
5,1,,Hierarchical Coordination for Multi-Robot Systems with Region-Based Tracking Control,"Chao-Wei Lin, Luis A. Sanchez-Porras, Yen-Chen Liu",45825
5,1,,Position Control of a Serial Manipulator Using Fuzzy-PID Controllers,"Yong-Lin Kuo, Shih-Min Liu",18-26
5,1,,Exposure-based Weighted Dynamic Histogram Equalization for Image Contrast Enhancement,"Yung-Yao Chen, Shin-Anne Chen",27-38
5,1,,2D-Span Resampling of Bi-RRT in Dynamic Path Planning,"Hsien-I Lin, Cheng-Sun Yang",39-48
5,1,,Tracking and Following Algorithms of Mobile Robots for Service Activities in Dynamic Environments,"Feng-Li Lian, Chin-Lung Chen, Chih-Chung Chou",49-60
5,1,,Long-term RFID SLAM using Short-Range Sparse Tags,"Jiun-Fu Chen, Chieh-Chih Wang",61-75
5,2,,New Thinking for the Development of Taiwan's Services Sector with the Emergence of Smart Manufacturing,Hsiu-Ling Li,77-80
5,2,,Minimally invasive surgery instruments based on a four-bar linkage design,"Michael Kam, Jia-Yush Yen",81-84
5,2,,An Improvement Stereo Vision Images Processing for Object Distance Measurement,"Tsung-Shiang Hsu, Ta-Chung Wang",85-90
5,2,,Development of a P300 Brain–Machine Interface and Design of an Elastic Mechanism for a Rehabilitation Robot,"Han-Pang Huang, Yi-Hung Liu, Wei-Zhi Lin, Zhi-Hao Kang, Ching-An Cheng, Tzu-Hao Huang",91-100
5,2,,A non-linear analytic stress model for the analysis on the stress interaction between TSVs,"Ming-Han Liao, Ssu-Chieh Kao, Sung-Jie Huang",101-105
5,2,,Effects of Number of Lenses in Microlens Arrays on Field of View in Integral Imaging Systems,"Pei-Chuen Chiou, Jia-Han Li",107-111
5,3,,"Smart Education Method, Technology and Environment","Shih-Chung Kang, Carrie Sturts Dossick",113-114
5,3,,An Analysis on the Intelligent Automation Demands of Taiwanese Companies in Southern China,Ying-Mei Tai,115-117
5,3,,Learning in Global Teams: BIM Planning and Coordination,"Carrie Sturts Dossick, Hoda Homayouni, Ghang Lee",119-135
5,3,,Instruction in Divergent Thinking for Conceptual Design: A Case Study Based on a Corkscrew,"Ying-Chieh Liu, Chin-Yu Kao, Amaresh Chakrabarti",137-143
5,3,,Teaching Practices for the Student Response System at National Taiwan University,"Jennifer Wen-Shya Lee, Mei-lun Shih",145-150
5,3,,CIM: Capability-Innovation-Motive Teaching Model for System Engineering Education – “Embedded Operating Systems” as an Example,"Yu-Lun Huang, Chao-Yang Cheng, Sunny S. J. Lin",151-161
5,3,,A Collaborative Authoring Workspace and Script-Based Control Platform for Heterogeneous Robots,"Jin-Ling Lin, Kao-Shing Hwang",163-171
5,3,,Overcoming technophobia in poorly-educated elderly – the HELPS-seniors service learning program,"Chwen-Chi Wang, Jin-Jong Chen",173-182
5,3,,Analysis of dynamic path loss based on the RSSI model for rupture location analysis in underground wireless sensor networks and its implications for Earthquake Early Warning System (EEWS),"Pushan Kr Dutta, O.P. Mishra, M.K. Naskar",183-194
5,4,,Smart Technology for the Older Adults to Facilitate Independent Living and Social Participation,Yeh-Liang Hsu,195-196
5,4,,An Analysis of GHG Emissions from Taiwan’s Industrial Sector,Sheng-Hsiung Chiu,197-201
5,4,,Design and Evaluation of the Walking Cane Handle Grip,"Kimitomo Taniguchi, Atsuo Takanishi",203-207
5,4,,Finite Element Analysis and Empirical Analysis of a Cost-effective Pressure Ulcer-Preventing Mattress,"Yi-Horng Lai, Lan-Yuen Guo",209-215
5,4,,Finite Element Estimation of Pressure Distribution inside the Trunk on a Mattress,"Shigekazu Ishihara, Keiko Ishihara, Mitsuo Nagamachi",217-223
5,4,,INVITATION: An Elderly Friendly ICT-enabled Interactive Installation to Promote Social Participations,"Hsiang-Lan Shih, Fang-Ting Huang, Tsang-Gang Lin, Chun-Ting Lee",225-231
5,4,,Smart Home Strategies for User-Centered Functional Assessment of Older Adults,"Vijay Kumar Ravishankar, Winslow Burleson, Diane Mahoney",233-242
5,4,,Analysis of Personal Life Patterns Using Accelerometer-Based Wearable Devices,"Yeh-Liang Hsu, Yi-Fan Jiang, Ching-Hung Lin, Tsai-Ya Lai, Cheng-Li Chang",243-248
5,4,,Design Considerations for Technology Interventions to Support Social and Physical Wellness for Older Adults with Disability,"Jenay M. Beer, Tracy L. Mitzner, Rachel E. Stuck, Wendy A. Rogers",249-264
5,4,,Frequency Domain Effect of a Hysteresis Suppression System with Inverse Preisach Model Based Control,"Hsin-Fang Tsai, Jia-Yush Yen, Lien-Sheng Chen, Hung-Cheng Chang, Jack J.H. Chen, Fu-Chen Wang, Wen-Bin Wung",265-273
6,1,2016,An Analysis of Intelligent Automation Demands in Taiwanese Firms,Ying-Mei Tai,45660
6,1,,Errors in Thermographic Camera Measurement Caused by Known Heat Sources and Depth Based Correction,"Mark Christian E. Manuel, Shu-Ping Lin, Wei-Hao Lu, Po Ting Lin",45789
6,1,,Adaptive Sliding Mode Control of a 6-DOF RLED Robot Manipulator with Uncertain Parameters and External Disturbances,"Isro Hutama, Chung-Hsien Kuo",13-24
6,1,,Chatter Identification of Face Milling Operation via Time-Frequency and Fourier Analysis,"Ching-Chih Wei, Meng-Kun Liu, Guo-Hua Huang",25-36
6,1,,An Intelligent Image Processing System for Real-Time Detection of Surface Flaws,"Yu-Cheng Chou, Wei-Chieh Liao, Ming Chang, Po Ting Lin",37-44
6,1,,A Point Cloud Alignment Algorithm Based on Stereo Vision Using Random Pattern Projection,"Chen-Sheng Chen, Mei-Yu Huang, Chun-Wei Yeh, Chien-Liang Huang",45-50
6,1,,Auto Target Tracking Robot Design Based on Smartphone,"Shuen De Wu, Kei-Siang You",51-56
6,2,,Exploring New Business Opportunities in the Changes of Customers’ Values,Ya-Ling Kao,57-58
6,2,,A Novel IHCP Calculation Scheme to Estimate Surface Heat Flux during Impinging Cooling,"Yu-Wei Liu, Chen-Kang Huang",59-67
6,2,,The Effect of Heating Conditions on Convective Boiling Characteristics of Methanol/Water Mixtures in Microchannels at Low Reynolds Number,"Chen-li Sun, Ming-Hsien Shi, Chuan-Yu Wang",69-80
